Rank,User_Id,Commnet_Amount
532,69548808,3
533,7715071,3
534,68821277,3
535,61811374,3
536,59349245,3
537,56897902,3
538,73300965,3
539,66124365,3
540,58125354,3
541,2108947,3
542,13201855,3
543,50973161,3
544,56845759,3
545,47581584,3
546,14829374,3
547,65455323,3
548,66332358,3
549,74519912,3
550,61300501,3
551,39800365,3
552,71923961,3
553,67484748,3
554,27854225,3
555,58531668,3
556,75996677,3
557,54544961,3
558,40668303,3
559,66544919,3
560,30246303,3
561,74386130,3
562,45621104,3
563,6791454,3
564,40796869,3
565,65837377,3
566,48063402,3
567,63823446,3
568,60698979,3
569,69678834,3
570,76479494,3
571,57046608,3
572,53422502,3
573,31229171,3
574,21532731,3
575,67740362,3
576,44849336,3
577,6988308,3
578,74695031,3
579,3123529,3
580,59828779,3
581,75003048,3
582,66997538,3
583,2416590,3
584,74014596,3
585,44646914,3
586,58699902,3
587,940212,3
588,29360021,3
589,54512326,3
590,72678827,3
591,67537168,3
592,57048689,3
593,76489543,3
594,38100935,3
595,48536104,3
596,6972344,3
597,77847572,3
598,15125136,3
599,60417972,3
600,66882868,3
601,33578256,3
602,3269290,3
603,70674765,3
604,11359009,3
605,70893425,3
606,70585272,3
607,54119191,3
608,57310719,3
609,1203302,2
610,71038878,2
611,65109524,2
612,73908981,2
613,36473283,2
614,37033065,2
615,42974235,2
616,58680644,2
617,45637812,2
618,64776985,2
619,60917460,2
620,66529358,2
621,65753874,2
622,6098666,2
623,53251587,2
624,66903820,2
625,57274245,2
626,56944836,2
627,70283044,2
628,3302684,2
629,12556360,2
630,8789398,2
631,73978855,2
632,1132383,2
633,15067430,2
634,2312585,2
635,71697187,2
636,69198577,2
637,45645078,2
638,14843896,2
639,23529788,2
640,34081583,2
641,37196826,2
642,10354865,2
643,25112622,2
644,67107079,2
645,68407754,2
646,32224977,2
647,64367229,2
648,26328255,2
649,52099257,2
650,59229961,2
651,1951292,2
652,59337904,2
653,5001092,2
654,69388449,2
655,59781917,2
656,73960826,2
657,27538058,2
658,73797827,2
659,23135912,2
660,47128359,2
661,9213268,2
662,52496099,2
663,40093565,2
664,66503176,2
665,56305882,2
666,65840548,2
667,72684764,2
668,38444127,2
669,45760072,2
670,73468630,2
671,65495338,2
672,67858785,2
673,64304875,2
674,56505895,2
675,61459731,2
676,63422441,2
677,64548654,2
678,59120993,2
679,19888233,2
680,72249295,2
681,62392749,2
682,49060970,2
683,57923634,2
684,64024,2
685,65039407,2
686,50396067,2
687,68650859,2
688,74213742,2
689,1697445,2
690,64667369,2
691,14121543,2
692,54750728,2
693,4039053,2
694,16993145,2
695,74131521,2
696,69677914,2
697,48751578,2
698,252832,2
699,48773462,2
700,2325294,2
701,73899564,2
702,45764788,2
703,69662717,2
704,69443377,2
705,57687533,2
706,44647748,2
707,67416055,2
708,34012498,2
709,73070446,2
710,20663434,2
711,11306109,2
712,23239639,2
713,14526247,2
714,65606861,2
715,67263102,2
716,52886408,2
717,67916833,2
718,38189909,2
719,2643350,2
720,67172114,2
721,6195649,2
722,72669485,2
723,19111801,2
724,48170668,2
725,1812066,2
726,62463445,2
727,479315,2
728,58268518,2
729,65132226,2
730,44766294,2
731,20554553,2
732,47110106,2
733,68022853,2
734,70342253,2
735,14214201,2
736,48307985,2
737,64988154,2
738,56290782,2
739,1197127,2
740,8223996,2
741,19985756,2
742,51275585,2
743,73794926,2
744,64905370,2
745,35733663,2
746,58189745,2
747,19044386,2
748,40880089,2
749,42313730,2
750,66589251,2
751,68037096,2
752,22033353,2
753,66964410,2
754,19967407,2
755,59696136,2
756,8627149,2
757,59624089,2
758,27988722,2
759,71240928,2
760,49923880,2
761,65929609,2
762,23355000,2
763,65416512,2
764,48427661,2
765,54179404,2
766,74580872,2
767,66222588,2
768,16760618,2
769,36067547,2
770,49841559,2
771,1456724,2
772,2518337,2
773,17422426,2
774,55545800,2
775,27925817,2
776,60143004,2
777,18283368,2
778,60965616,2
779,14370012,2
780,46936593,2
781,61337953,2
782,69997790,2
783,55637968,2
784,49527177,2
785,17718724,2
786,30138999,2
787,70036336,2
788,55529044,2
789,60308777,2
790,73221425,2
791,74693680,2
792,67579030,2
793,69313662,2
794,15384018,2
795,30690106,2
796,40405621,2
797,43757808,2
798,15268954,2
799,53124137,2
800,58163131,2
801,27631984,2
802,15329200,2
803,14162766,2
804,72369775,2
805,675571,2
806,46074824,2
807,69566625,2
808,54526004,2
809,56146795,2
810,40895153,2
811,26418147,2
812,73003844,2
813,41232513,2
